rank,lemma,PoS,freq,synonym,synset,random,synonym_similarity_left,synonym_similarity_right,synonym_similarity,random_similarity_left,random_similarity_right,random_similarity
26,say,v,4096416,tell,Synset('order.v.01'),blanket,0.792682908475399,0.7854016721248627,0.7890422903001308,0.6123461425304413,0.6217135936021805,0.6170298680663109
31,go,v,3546732,start,Synset('start.v.09'),blank,0.7189799174666405,0.7103893905878067,0.7146846540272236,0.5921162068843842,0.5954010784626007,0.5937586426734924
34,get,v,3347615,acquire,Synset('get.v.01'),overhaul,0.7640487030148506,0.7671763971447945,0.7656125500798225,0.6722273826599121,0.6642267853021622,0.6682270839810371
39,know,v,2761628,recognise,Synset('acknowledge.v.06'),chisel,0.7628126442432404,0.771490678191185,0.7671516612172127,0.6947320848703384,0.6954361498355865,0.6950841173529625
50,make,v,2290830,get,Synset('make.v.02'),tickle,0.7580870240926743,0.7681607007980347,0.7631238624453545,0.678154282271862,0.6887891516089439,0.683471716940403
53,think,v,2077762,conceive,Synset('think.v.01'),spool,0.7683841064572334,0.7725043520331383,0.7704442292451859,0.6644341051578522,0.6907034069299698,0.677568756043911
54,time,n,2018725,metre,Synset('meter.n.04'),lysippus,0.6559999138116837,0.6703540086746216,0.6631769612431526,0.7019050568342209,0.7171056568622589,0.7095053568482399
56,see,v,1958700,escort,Synset('see.v.22'),transit,0.6172669157385826,0.6421753540635109,0.6297211349010468,0.5611813254654408,0.6004505231976509,0.5808159243315458
61,come,v,1802158,follow,Synset('come.v.05'),adjust,0.7184956893324852,0.7191513851284981,0.7188235372304916,0.645453006029129,0.6362156644463539,0.6408343352377415
62,people,n,1800205,masses,Synset('multitude.n.03'),subvention,0.7384436056017876,0.7602856308221817,0.7493646182119846,0.7085022777318954,0.7152840867638588,0.7118931822478771
63,take,v,1768822,accept,Synset('take.v.20'),band,0.7657219469547272,0.7732260525226593,0.7694739997386932,0.616689644753933,0.6383603289723396,0.6275249868631363
64,year,n,1729962,class,Synset('class.n.06'),dentition,0.6642083004117012,0.6655839383602142,0.6648961193859577,0.6932131201028824,0.6913508996367455,0.6922820098698139
68,want,v,1671524,require,Synset('want.v.02'),duplex,0.7489161938428879,0.7391533628106117,0.7440347783267498,0.6850544661283493,0.6787877082824707,0.68192108720541
81,look,v,1338475,reckon,Synset('count.v.08'),blow,0.6548898965120316,0.6762606352567673,0.6655752658843994,0.6740714237093925,0.6853646785020828,0.6797180511057377
82,way,n,1260011,path,Synset('way.n.05'),drawing,0.7294735312461853,0.7464660480618477,0.7379697896540165,0.620982863008976,0.6278693079948425,0.6244260855019093
86,thing,n,1202004,affair,Synset('matter.n.01'),lacquer,0.7385260239243507,0.7436175495386124,0.7410717867314816,0.6084935739636421,0.6268060803413391,0.6176498271524906
87,well,r,1189096,substantially,Synset('well.r.07'),adaxially,0.6633568704128265,0.6696107164025307,0.6664837934076786,0.6704519167542458,0.675428107380867,0.6729400120675564
89,also,r,1142799,besides,Synset('besides.r.02'),absolutely,0.715709812939167,0.7101937532424927,0.7129517830908298,0.6671717315912247,0.6646289527416229,0.6659003421664238
91,use,v,1126042,apply,Synset('practice.v.04'),unbalance,0.7618820816278458,0.7699350342154503,0.765908557921648,0.6969561204314232,0.7090449929237366,0.7030005566775799
92,tell,v,1119692,severalize,Synset('distinguish.v.01'),fall,0.7240956425666809,0.7305499240756035,0.7273227833211422,0.6127604097127914,0.6361006423830986,0.624430526047945
93,good,a,1111721,undecomposed,Synset('good.s.20'),blubbery,0.6677060723304749,0.6750879809260368,0.6713970266282558,0.6812708899378777,0.6856734603643417,0.6834721751511097
95,man,n,1091176,humans,Synset('world.n.08'),egyptologist,0.7683798372745514,0.7874190807342529,0.7778994590044022,0.7457053884863853,0.7398904860019684,0.7427979372441769
96,day,n,1068902,daylight,Synset('day.n.04'),slander,0.7049437016248703,0.7225224822759628,0.7137330919504166,0.6289498209953308,0.6147973015904427,0.6218735612928867
97,find,v,1051936,witness,Synset('witness.v.02'),survive,0.6874782964587212,0.6972808688879013,0.6923795826733112,0.6819694712758064,0.6945463195443153,0.6882578954100609
98,give,v,1048189,establish,Synset('establish.v.05'),snafu,0.7456127926707268,0.7594688534736633,0.752540823072195,0.6536668688058853,0.6733806505799294,0.6635237596929073
100,new,a,1017175,modern,Synset('modern.s.05'),shifting,0.7301331833004951,0.7255178242921829,0.727825503796339,0.7025441452860832,0.6918841302394867,0.697214137762785
107,need,v,945498,want,Synset('want.v.02'),recur,0.8040928468108177,0.8202624395489693,0.8121776431798935,0.6353921219706535,0.651557944715023,0.6434750333428383
108,back,r,938649,backward,Synset('back.r.04'),deliriously,0.7231012657284737,0.7374241203069687,0.7302626930177212,0.636324368417263,0.6246673539280891,0.6304958611726761
