,original,random,pos
0,say,erupt,v
1,go,overleap,v
2,get,chaw,v
3,know,dull,v
4,would,meet,v
5,make,rhyme,v
6,think,regenerate,v
7,time,filaggrin,n
8,see,smack,v
9,come,adsorb,v
10,people,ensemble,n
11,take,transect,v
12,year,seidel,n
13,want,cheerlead,v
14,could,croquet,v
15,look,flounder,v
16,way,Iraq,n
17,thing,simultaneity,n
18,well,statutorily,r
19,also,scantily,r
20,use,spritz,v
21,tell,piggyback,v
22,good,point-of-sale,a
23,man,torus,n
24,day,toponymy,n
25,find,understock,v
26,give,amplify,v
27,new,swift-footed,a
28,need,compromise,v
29,back,individually,r
30,even,astern,r
31,really,squarely,r
32,work,swim,v
33,life,rorqual,n
34,right,uppermost,r
35,try,gelatinize,v
36,let,campaign,v
37,call,officiate,v
38,woman,Pullman,n
39,may,tick,v
40,still,federally,r
41,mean,suburbanize,v
42,never,shrilly,r
43,world,sinking,n
44,feel,stamp,v
45,great,Mauritanian,a
46,child,nosebag,n
47,ask,serialize,v
48,school,caber,n
49,state,Cosmocampus,n
50,talk,reprint,v
51,keep,minister,v
52,leave,serve,v
53,put,make,v
54,like,joint,v
55,help,ditto,v
56,big,dichotomous,a
57,start,be,v
58,high,home-loving,a
59,become,pay,v
60,happen,flatten,v
61,family,rim,n
62,president,glycosuria,n
63,old,acetic,a
64,house,plaintiveness,n
65,show,vet,v
66,student,symbolizing,n
67,seem,unscramble,v
68,might,inventory,v
69,part,Vespula,n
70,hear,opalesce,v
71,place,christella,n
72,problem,paralysis,n
73,believe,bethink,v
74,country,terbium,n
75,always,illegally,r
76,week,Melanoplus,n
77,point,ophthalmoplegia,n
78,hand,candlewick,n
79,play,overrun,v
80,turn,pall,v
81,group,casing,n
82,run,matriculate,v
83,guy,Federal,n
84,case,kilt,n
85,question,hollowware,n
86,work,Caprimulgus,n
87,night,naira,n
88,live,plunge,v
89,game,onion,n
90,number,scenery,n
91,write,invade,v
92,bring,lip-synch,v
93,money,adhesion,n
94,lot,hall,n
95,book,forewoman,n
96,system,anagnost,n
97,government,Acnidosporidia,n
98,city,stateswoman,n
99,company,birth,n
100,story,electrophorus,n
101,today,secondarily,r
102,job,adenitis,n
103,move,pare,v
104,must,transgress,v
105,bad,earthlike,a
106,friend,utahraptor,n
107,begin,coo,v
108,love,massage,v
109,hold,assume,v
110,different,secretory,a
111,american,gross,a
112,little,two-hundredth,a
113,ever,pluckily,r
114,word,lullaby,n
115,fact,antipyretic,n
116,right,Pediculati,n
117,read,tunnel,v
118,sure,cyclic,a
119,small,undue,a
120,month,Hart,n
121,program,Trenton,n
122,maybe,spaceward,r
123,right,unaccented,a
124,business,parrot,n
125,home,peludo,n
126,kind,Mandalay,n
127,stop,coo,v
128,pay,fear,v
129,study,development,n
130,issue,extremist,n
131,name,coccidiosis,n
132,idea,covenant,n
133,room,neuroglia,n
134,percent,Elettaria,n
135,far,easily,r
136,away,potentially,r
137,law,planchet,n
138,actually,historically,r
139,large,mental,a
140,provide,know,v
141,lose,anastomose,v
142,power,piece,n
143,kid,screener,n
144,war,nihil,n
145,understand,snap,v
146,head,Chloroxylon,n
147,mother,stage,n
148,real,Danish,a
149,best,recoilless,a
150,team,pied-a-terre,n
151,eye,eta,n
152,long,meagerly,r
153,long,ineffective,a
154,side,Molidae,n
155,water,Toscanini,n
156,young,nonporous,a
157,wait,hare,v
158,okay,thoughtfully,r
159,yet,thermally,r
160,meet,pass,v
161,service,mimosa,n
162,area,bassist,n
163,important,cernuous,a
164,person,Nightingale,n
165,thank,scarify,v
166,much,skyward,r
167,end,Oakley,n
168,change,double-glaze,v
169,however,immodestly,r
170,around,photometrically,r
171,hour,stylopodium,n
172,national,retentive,a
173,line,practicability,n
174,girl,mission,n
175,watch,vindicate,v
176,father,chaldron,n
177,sit,theologize,v
178,create,hive,v
179,information,Titus,n
180,car,life,n
181,learn,stroke,v
182,least,inappropriately,r
183,already,hopelessly,r
184,kill,render,v
185,minute,proof,n
186,party,marblewood,n
187,include,sandbag,v
188,stand,show,v
189,together,abreast,r
190,back,pelvimetry,n
191,follow,glue,v
192,health,cult,n
193,remember,pluck,v
194,often,sometime,r
195,reason,indistinctness,n
196,speak,fall,v
197,ago,astride,r
198,set,clarify,v
199,black,anonymous,a
200,member,Cavalier,n
201,community,pulse,n
202,social,protective,a
203,news,silica,n
204,allow,post,v
205,win,counterattack,v
206,body,cirrocumulus,n
207,lead,cramp,v
208,continue,beard,v
209,enough,noncompetitively,r
210,spend,immunize,v
211,level,variedness,n
212,able,compatible,a
213,political,aberrant,a
214,almost,intransitively,r
215,boy,solvent,n
216,university,corona,n
217,stay,scribe,v
218,add,denationalize,v
219,later,tunelessly,r
220,change,durum,n
221,probably,ardently,r
222,center,abortion,n
223,face,synapse,n
224,public,nonpsychoactive,a
225,die,cuff,v
226,food,Dipogon,n
227,else,again,r
228,history,wanderer,n
229,buy,dissatisfy,v
230,result,Montezuma,n
231,morning,Nepalese,n
232,parent,hydrophobia,n
233,office,spiral,n
234,course,adroitly,r
235,send,fructify,v
236,research,larvacean,n
237,walk,gauge,v
238,door,dictation,n
239,white,bipinnatifid,a
240,court,Mitterrand,n
241,home,artistically,r
242,grow,reduce,v
243,better,subaqueous,a
244,open,drown,v
245,moment,Milwaukee,n
246,consider,be,v
247,little,unusually,r
248,late,ratable,a
249,street,Sellers,n
250,free,cold,a
251,better,telegraphically,r
252,policy,Marrakesh,n
253,table,larghetto,n
254,sorry,prosthetic,a
255,care,Alabaman,n
256,low,file-like,a
257,human,bicentennial,a
258,please,timorously,r
259,hope,face,v
260,True,crookback,a
261,process,malted,n
262,teacher,singularity,n
263,data,manipulation,n
264,offer,tomahawk,v
265,death,obscurity,n
266,whole,eparchial,a
267,experience,Martial,n
268,plan,yea,n
269,easy,black-seeded,a
270,education,tun,n
271,build,inject,v
272,expect,sanitize,v
273,fall,aurify,v
274,age,operations,n
275,hard,weapons-grade,a
276,sense,Hypericaceae,n
277,show,fastidiousness,n
278,early,blithe,a
279,college,benzofuran,n
280,music,earmark,n
281,appear,stay,v
282,mind,barrels,n
283,class,attainder,n
284,police,bullace,n
285,use,compassion,n
286,effect,courtship,n
287,season,vigor,n
288,tax,Freemason,n
289,heart,Paguridae,n
290,son,oilseed,n
291,art,Phthorimaea,n
292,possible,epideictic,a
293,serve,cruise,v
294,break,remove,v
295,end,ink,v
296,market,congestion,n
297,air,Chrysophyllum,n
298,force,Patwin,n
299,require,overuse,v
300,foot,deification,n
301,listen,muster,v
302,agree,salute,v
303,baby,pan,n
304,wrong,uptown,a
305,love,wish-wash,n
306,cut,corral,v
307,decide,pasteurize,v
308,republican,Glossinidae,n
309,full,inferential,a
310,pass,meet,v
311,interest,Antrozous,n
312,sometimes,now,r
313,security,shelter,n
314,eat,segue,v
315,report,outdistance,v
316,control,Megachiroptera,n
317,rate,here,n
318,local,vegetative,a
319,suggest,rape,v
320,report,beater,n
321,nation,instructorship,n
322,sell,give,v
323,action,hickey,n
324,support,survive,v
325,wife,dimension,n
326,decision,tying,n
327,receive,rubricate,v
328,value,Adige,n
329,base,port,v
330,pick,clear,v
331,phone,kyat,n
332,thanks,drip,n
333,event,Franco,n
334,drive,clamor,v
335,strong,hyperthermal,a
336,reach,reassail,v
